location,si,tree,age.base,dbh.cm,height
5,9,44,30,5.2,5.1
5,9,44,40,7.1,7.4
5,9,44,50,9.4,9.5
5,9,44,60,11.2,11.6
5,9,44,70,12.6,13.4
5,9,44,80,13.8,15
5,9,44,90,15.2,16.8
5,9,44,100,16.3,18
5,9,44,110,17.4,19.1
5,9,44,120,18.1,20.2
5,9,44,130,19,21.2
5,9,44,140,19.7,22.2
5,9,44,150,20.4,23.1
5,9,45,20,3.3,2.8
5,9,45,30,6.3,5
5,9,45,40,8.7,7.1
5,9,45,50,11,8.9
5,9,45,60,13.5,10.9
5,9,45,70,15.5,12.9
5,9,45,80,17.4,14.4
5,9,45,90,18.8,15.7
5,9,45,100,19.9,16.9
5,9,45,110,21.3,18.2
5,9,45,120,22.3,19.2
5,9,45,130,23.5,20.4
5,9,45,140,25.5,22.1
5,9,45,150,27,23.5
5,9,46,20,2.6,2.5
5,9,46,30,7.1,5
5,9,46,40,10.6,7.3
5,9,46,50,13.5,9.3
5,9,46,60,15.4,11.1
5,9,46,70,17.2,12.3
5,9,46,80,18.6,13.8
5,9,46,90,20.2,15.7
5,9,46,100,21.6,17.4
5,9,46,110,23,18.6
5,9,46,120,24,19.6
5,9,46,130,25,20.6
5,9,46,140,26.2,22
5,9,46,150,27.4,24.2
5,9,47,20,5.5,3.8
5,9,47,30,10,6.4
5,9,47,40,13.3,8.5
5,9,47,50,15.6,10.4
5,9,47,60,18.4,12.6
5,9,47,70,20.9,14.6
5,9,47,80,23.3,16.7
5,9,47,90,26,18.9
5,9,47,100,27.8,20.7
5,9,47,110,29.7,22.6
5,9,47,120,31.4,24.3
5,9,47,130,33,25.9
5,9,47,140,35.2,27.4
5,9,47,150,37.5,28.9
5,9,48,20,2.2,2.1
5,9,48,30,8.4,5.3
5,9,48,40,12.2,8.1
5,9,48,50,14.7,10.4
5,9,48,60,16.8,12.5
5,9,48,70,18.5,14.1
5,9,48,80,20.5,15.4
5,9,48,90,22.1,16.6
5,9,48,100,23.7,17.7
5,9,48,110,25.1,18.8
5,9,48,120,26,19.7
5,9,48,130,27.1,20
5,9,48,140,27.9,21.5
5,9,48,150,28.8,22.2
5,5,32,30,1.5,2.2
5,5,32,40,5.1,4.9
5,5,32,50,8.3,8.1
5,5,32,60,10.3,10.6
5,5,32,70,11.6,12.2
5,5,32,80,12.8,13.6
5,5,32,90,13.8,14.9
5,5,32,100,14.5,16
5,5,33,30,2.6,2.6
5,5,33,40,6,3.6
5,5,33,50,7.6,4.6
5,5,33,60,9.1,5.7
5,5,33,70,10.3,6.9
5,5,33,80,11.4,8.6
5,5,33,90,12.9,10.3
5,5,33,100,14.5,12.2
5,5,33,110,16,13.7
5,5,33,120,17.4,15
5,5,33,130,18.6,16.2
6,16,2,10,0.5,1.5
6,16,2,20,6.8,5.6
6,16,2,30,10.5,10.1
6,16,2,40,14,13.8
6,16,2,50,16.6,16.9
6,16,2,60,18.7,19.7
6,16,2,70,20.2,22
6,16,2,80,21.5,24.1
6,16,3,10,0.8,1.8
6,16,3,20,7.4,5.8
6,16,3,30,12,9.8
6,16,3,40,15.8,13.5
6,16,3,50,17.9,16.4
6,16,3,60,20.1,19.5
6,16,3,70,21.6,22.3
6,16,3,80,22.7,24.8
6,16,4,10,2,2.3
6,16,4,20,8.8,6.6
6,16,4,30,13.9,10.6
6,16,4,40,18.2,13.9
6,16,4,50,21.3,17.2
6,16,4,60,24.3,20.4
6,16,4,70,27.2,23.5
6,16,4,80,29.5,25.8
6,16,5,20,1.4,2
6,16,5,30,6.6,6.6
6,16,5,40,11.1,11.8
6,16,5,50,16,17.5
6,16,5,60,21.8,22.5
6,16,5,70,26.3,26.1
6,16,6,20,7.4,5.2
6,16,6,30,13.7,10
6,16,6,40,17.7,14.3
6,16,6,50,20.6,17.5
6,16,6,60,22.9,20.3
6,16,6,70,24.7,22.6
6,16,6,80,26.2,24.8
6,16,7,10,0.8,1.9
6,16,7,20,9.6,6.5
6,16,7,30,16.8,11
6,16,7,40,21.4,14
6,16,7,50,23.6,17.9
6,16,7,60,25.7,20.7
6,16,7,70,27.5,23
6,16,7,80,29.1,25.2
6,16,7,90,30.6,27.4
6,16,7,100,31.7,29.7
6,16,8,20,5.2,4.3
6,16,8,30,11.2,9.3
6,16,8,40,15.2,13
6,16,8,50,18.7,17.4
6,16,8,60,21.5,20.9
6,16,8,70,23.6,23.1
6,16,8,80,25.8,25.1
6,16,8,90,28.4,27.4
6,16,8,100,30.6,29.3
6,12,9,20,4.2,3.6
6,12,9,30,7.8,6.3
6,12,9,40,11.8,10.5
6,12,9,50,14.5,14.2
6,12,9,60,16.4,17.2
6,12,9,70,18.2,20
6,12,9,80,19.9,22.3
6,12,9,90,21.7,23.9
6,12,10,20,4.9,3.5
6,12,10,30,8,5.6
6,12,10,40,11.4,8.4
6,12,10,50,14.1,11.1
6,12,10,60,16.5,13.4
6,12,10,70,18.6,15.2
6,12,10,80,20.5,17.1
6,12,10,90,22.7,18.8
6,12,10,100,24.9,20.6
6,12,10,110,27.3,22.3
6,9,11,20,1.7,2.1
6,9,11,30,5,3.6
6,9,11,40,8.5,5.4
6,9,11,50,12.6,7.7
6,9,11,60,16.2,10.1
6,9,11,70,19,11.8
6,9,11,80,22.1,13.3
6,9,11,90,24.1,14.7
6,9,11,100,26.3,16
6,9,11,110,27.8,17.1
6,9,11,120,28.9,18
6,9,11,130,29.5,18.8
6,9,11,140,30.3,19.5
6,9,11,150,31.2,20.1
6,9,12,20,2.4,2.5
6,9,12,30,7.3,5.2
6,9,12,40,10,6.9
6,9,12,50,12.5,8.4
6,9,12,60,15.1,10
6,9,12,70,17.5,12.1
6,9,12,80,19.6,13.8
6,9,12,90,21.5,15.1
6,9,12,100,23.3,16.4
6,9,12,110,25.3,17.7
6,9,12,120,27.1,19
6,9,12,130,28.5,20.6
6,9,12,140,30,22.2
6,9,12,150,31.6,23.6
7,16,6,20,1.5,2.1
7,16,6,30,10,6.4
7,16,6,40,16.8,11
7,16,6,50,21.7,15
7,16,6,60,24.8,17.9
7,16,6,70,27.4,19.6
7,16,6,80,29.5,21.9
7,16,6,90,31.7,23.5
7,16,6,100,33.4,24.9
7,16,6,110,35,26.2
7,16,6,120,36.5,27.2
7,16,6,130,37.8,28.2
7,16,6,140,40,29.2
7,16,6,150,42.6,30.2
7,12,1,20,5,3.6
7,12,1,30,9.6,6.4
7,12,1,40,12.1,8.8
7,12,1,50,13.9,11.2
7,12,1,60,15.7,13.1
7,12,1,70,17.4,14.8
7,12,1,80,18.7,16.3
7,12,1,90,20,17.7
7,12,1,100,21.7,19.3
7,12,1,110,23.6,21.1
7,12,1,120,25.2,22.7
7,12,10,20,4.7,3.6
7,12,10,30,9.4,7
7,12,10,40,13.2,10.5
7,12,10,50,15.8,14
7,12,10,60,18.4,16.7
7,12,10,70,20.3,18.3
7,12,10,80,22,19.7
7,12,10,90,24,21.1
7,12,10,100,26,22.2
7,12,10,110,28.3,23.6
7,12,10,120,30,24.7
7,12,10,130,32,25.8
7,12,10,140,33.8,26.5
7,12,10,150,35.4,27.3
7,9,11,20,2.9,2.9
7,9,11,30,7.1,5.4
7,9,11,40,10.4,7.8
7,9,11,50,13.3,9.8
7,9,11,60,15.8,11.7
7,9,11,70,17.7,13.7
7,9,11,80,19.4,15.3
7,9,13,20,3,2.6
7,9,13,30,7.9,5.2
7,9,13,40,10.8,7.3
7,9,13,50,13.2,9.3
7,9,13,60,15.3,10.7
7,9,13,70,17.1,11.8
7,9,13,80,18.9,12.8
7,9,13,90,20.2,13.7
7,9,13,100,21.1,14.5
7,9,13,110,22.2,15.5
7,9,13,120,23.8,16.9
7,9,14,20,2.1,2.5
7,9,14,30,8.8,5.4
7,9,14,40,12.7,8.3
7,9,14,50,15.1,10.2
7,9,14,60,16.8,11.5
7,9,14,70,18.2,12.6
7,9,14,80,19.9,13.6
7,9,14,90,21.2,14.6
7,9,14,100,22.8,15.6
7,9,14,110,24.2,17
7,9,14,120,25.6,18.3
7,9,15,20,4.3,3.3
7,9,15,30,9.6,6.2
7,9,15,40,13,9
7,9,15,50,15.8,10.9
7,9,15,60,17.9,12.3
7,9,15,70,20,13.6
7,9,15,80,22.3,15
7,9,15,90,24.6,16.5
7,9,15,100,27.1,18.3
7,9,15,110,29.9,19.9
7,9,15,120,32.8,21.6
7,5,12,20,1.4,1.9
7,5,12,30,4.6,3.2
7,5,12,40,7.1,4.4
7,5,12,50,8.8,5.6
7,5,12,60,10.2,6.9
7,5,12,70,11.5,8.5
7,5,12,80,12.8,10
7,5,12,90,14.2,11.3
7,5,12,100,15.5,12.6
7,5,12,110,17.2,14.1
7,5,12,120,18.7,15.4
7,5,20,40,2.2,2
7,5,20,50,4,2.7
7,5,20,60,5.8,3.5
7,5,20,70,7.4,4.4
7,5,20,80,8.9,5.4
7,5,20,90,10.6,6.5
7,5,20,100,12.4,7.7
7,5,20,110,14.3,8.8
7,5,20,120,15.5,9.7
7,5,20,130,16.7,10.4
7,5,20,140,17.7,11.1
7,5,20,150,18.8,11.9
7,5,21,30,3.8,2.5
7,5,21,40,6.9,3.7
7,5,21,50,8.8,4.7
7,5,21,60,10.5,5.7
7,5,21,70,12.1,6.7
7,5,21,80,13.7,7.9
7,5,21,90,14.9,8.8
7,5,21,100,16.2,9.7
7,5,21,110,17.1,10.3
7,5,21,120,18.2,10.9
7,5,21,130,19.2,11.5
7,5,21,140,20.2,12.2
7,5,21,150,21.1,12.9
